(1241, 536) (1486, 846) (1486, 536) (1731, 846)
(1241, 537) (1486, 847) (1486, 537) (1731, 847)
(1241, 538) (1486, 848) (1486, 538) (1731, 848)
(1241, 538) (1486, 848) (1486, 538) (1731, 848)
(1241, 537) (1486, 847) (1486, 537) (1731, 847)
(1241, 538) (1486, 848) (1486, 538) (1731, 848)
(1241, 537) (1486, 847) (1486, 537) (1731, 847)
(1242, 537) (1487, 847) (1487, 537) (1732, 847)
(1241, 537) (1486, 847) (1486, 537) (1731, 847)
(1241, 536) (1486, 846) (1486, 536) (1731, 846)
(1241, 537) (1486, 847) (1486, 537) (1731, 847)
(1241, 537) (1486, 847) (1486, 537) (1731, 847)
(1242, 537) (1487, 847) (1487, 537) (1732, 847)
(1241, 536) (1486, 846) (1486, 536) (1731, 846)
(1242, 537) (1487, 847) (1487, 537) (1732, 847)
(1241, 536) (1486, 846) (1486, 536) (1731, 846)
(1242, 537) (1487, 847) (1487, 537) (1732, 847)
(1242, 537) (1487, 847) (1487, 537) (1732, 847)
(1241, 537) (1486, 847) (1486, 537) (1731, 847)
(1241, 537) (1486, 847) (1486, 537) (1731, 847)
(1241, 537) (1486, 847) (1486, 537) (1731, 847)
(1241, 537) (1486, 847) (1486, 537) (1731, 847)
(1241, 536) (1486, 846) (1486, 536) (1731, 846)
(1241, 536) (1486, 846) (1486, 536) (1731, 846)
(1241, 537) (1486, 847) (1486, 537) (1731, 847)
(1241, 537) (1486, 847) (1486, 537) (1731, 847)
(1242, 538) (1487, 848) (1487, 538) (1732, 848)
(1241, 537) (1486, 847) (1486, 537) (1731, 847)
(1241, 537) (1486, 847) (1486, 537) (1731, 847)
(1241, 536) (1486, 846) (1486, 536) (1731, 846)
(1241, 537) (1486, 847) (1486, 537) (1731, 847)
(1242, 537) (1487, 847) (1487, 537) (1732, 847)
(1241, 537) (1486, 847) (1486, 537) (1731, 847)
(1241, 539) (1486, 849) (1486, 539) (1731, 849)
(1241, 538) (1486, 848) (1486, 538) (1731, 848)
(1241, 539) (1486, 849) (1486, 539) (1731, 849)
(1243, 536) (1488, 846) (1488, 536) (1733, 846)
(1241, 538) (1486, 848) (1486, 538) (1731, 848)
(1240, 536) (1485, 846) (1485, 536) (1730, 846)
(1241, 538) (1486, 848) (1486, 538) (1731, 848)
(1241, 538) (1486, 848) (1486, 538) (1731, 848)
(1258, 535) (1503, 845) (1503, 535) (1748, 845)
(1257, 535) (1502, 845) (1502, 535) (1747, 845)
(1257, 534) (1502, 844) (1502, 534) (1747, 844)
(1259, 535) (1504, 845) (1504, 535) (1749, 845)
(1257, 533) (1502, 843) (1502, 533) (1747, 843)
(1263, 534) (1508, 844) (1508, 534) (1753, 844)
(1265, 538) (1510, 848) (1510, 538) (1755, 848)
0
(1259, 534) (1504, 844) (1504, 534) (1749, 844)
(1253, 532) (1498, 842) (1498, 532) (1743, 842)
(1259, 535) (1504, 845) (1504, 535) (1749, 845)
(1259, 537) (1504, 847) (1504, 537) (1749, 847)
(1261, 536) (1506, 846) (1506, 536) (1751, 846)
(1261, 536) (1506, 846) (1506, 536) (1751, 846)
(1261, 535) (1506, 845) (1506, 535) (1751, 845)
(1263, 535) (1508, 845) (1508, 535) (1753, 845)
(1256, 535) (1501, 845) (1501, 535) (1746, 845)
(1251, 525) (1496, 835) (1496, 525) (1741, 835)
(1262, 534) (1507, 844) (1507, 534) (1752, 844)
(1261, 530) (1506, 840) (1506, 530) (1751, 840)
(1255, 530) (1500, 840) (1500, 530) (1745, 840)
(1257, 530) (1502, 840) (1502, 530) (1747, 840)
(1260, 531) (1505, 841) (1505, 531) (1750, 841)
(1247, 529) (1492, 839) (1492, 529) (1737, 839)
(1249, 530) (1494, 840) (1494, 530) (1739, 840)
(1223, 547) (1468, 857) (1468, 547) (1713, 857)
(1253, 529) (1498, 839) (1498, 529) (1743, 839)
(1255, 535) (1500, 845) (1500, 535) (1745, 845)
(1250, 542) (1495, 852) (1495, 542) (1740, 852)
(1253, 531) (1498, 841) (1498, 531) (1743, 841)
(1254, 532) (1499, 842) (1499, 532) (1744, 842)
(1253, 530) (1498, 840) (1498, 530) (1743, 840)
(1256, 537) (1501, 847) (1501, 537) (1746, 847)
(1251, 526) (1496, 836) (1496, 526) (1741, 836)
(1252, 529) (1497, 839) (1497, 529) (1742, 839)
(1255, 529) (1500, 839) (1500, 529) (1745, 839)
(1268, 531) (1513, 841) (1513, 531) (1758, 841)
(1268, 526) (1513, 836) (1513, 526) (1758, 836)
(1270, 528) (1515, 838) (1515, 528) (1760, 838)
(1247, 530) (1492, 840) (1492, 530) (1737, 840)
(1261, 534) (1506, 844) (1506, 534) (1751, 844)
(1249, 530) (1494, 840) (1494, 530) (1739, 840)
(1257, 530) (1502, 840) (1502, 530) (1747, 840)
(1255, 534) (1500, 844) (1500, 534) (1745, 844)
(1259, 532) (1504, 842) (1504, 532) (1749, 842)
(1259, 533) (1504, 843) (1504, 533) (1749, 843)
(1257, 534) (1502, 844) (1502, 534) (1747, 844)
(1255, 534) (1500, 844) (1500, 534) (1745, 844)
(1257, 535) (1502, 845) (1502, 535) (1747, 845)
(1256, 537) (1501, 847) (1501, 537) (1746, 847)
(1255, 537) (1500, 847) (1500, 537) (1745, 847)
(1255, 528) (1500, 838) (1500, 528) (1745, 838)
(1249, 530) (1494, 840) (1494, 530) (1739, 840)
(1247, 530) (1492, 840) (1492, 530) (1737, 840)
(1250, 527) (1495, 837) (1495, 527) (1740, 837)
(1253, 530) (1498, 840) (1498, 530) (1743, 840)
(1251, 530) (1496, 840) (1496, 530) (1741, 840)
(1252, 529) (1497, 839) (1497, 529) (1742, 839)
(1249, 530) (1494, 840) (1494, 530) (1739, 840)
(1253, 532) (1498, 842) (1498, 532) (1743, 842)
(1251, 532) (1496, 842) (1496, 532) (1741, 842)
(1247, 529) (1492, 839) (1492, 529) (1737, 839)
(1250, 530) (1495, 840) (1495, 530) (1740, 840)
(1252, 530) (1497, 840) (1497, 530) (1742, 840)
(1253, 529) (1498, 839) (1498, 529) (1743, 839)
(1245, 532) (1490, 842) (1490, 532) (1735, 842)
(1249, 533) (1494, 843) (1494, 533) (1739, 843)
(1248, 533) (1493, 843) (1493, 533) (1738, 843)
(1247, 534) (1492, 844) (1492, 534) (1737, 844)
(1249, 531) (1494, 841) (1494, 531) (1739, 841)
(1250, 533) (1495, 843) (1495, 533) (1740, 843)
(1259, 531) (1504, 841) (1504, 531) (1749, 841)
(1259, 536) (1504, 846) (1504, 536) (1749, 846)
(1261, 536) (1506, 846) (1506, 536) (1751, 846)
(1260, 538) (1505, 848) (1505, 538) (1750, 848)
(1249, 536) (1494, 846) (1494, 536) (1739, 846)
