(1089, 416) (1334, 726) (1334, 416) (1579, 726)
(1090, 415) (1335, 725) (1335, 415) (1580, 725)
(1089, 414) (1334, 724) (1334, 414) (1579, 724)
(1089, 415) (1334, 725) (1334, 415) (1579, 725)
(1093, 412) (1338, 722) (1338, 412) (1583, 722)
(1081, 424) (1326, 734) (1326, 424) (1571, 734)
(1089, 414) (1334, 724) (1334, 414) (1579, 724)
(1081, 424) (1326, 734) (1326, 424) (1571, 734)
(1089, 414) (1334, 724) (1334, 414) (1579, 724)
(1089, 414) (1334, 724) (1334, 414) (1579, 724)
(1082, 424) (1327, 734) (1327, 424) (1572, 734)
(1089, 411) (1334, 721) (1334, 411) (1579, 721)
(1089, 413) (1334, 723) (1334, 413) (1579, 723)
(1089, 414) (1334, 724) (1334, 414) (1579, 724)
(1091, 421) (1336, 731) (1336, 421) (1581, 731)
(1089, 417) (1334, 727) (1334, 417) (1579, 727)
(1089, 417) (1334, 727) (1334, 417) (1579, 727)
(1089, 417) (1334, 727) (1334, 417) (1579, 727)
(1089, 417) (1334, 727) (1334, 417) (1579, 727)
